Team,Season,Result
Los Angeles Lakers,1980,Won Finals
Philadelphia 76ers,1980,Lost Finals
Boston Celtics,1980,Conference Finals
Seattle SuperSonics,1980,Conference Finals
Houston Rockets,1980,Conference Semifinals
Atlanta Hawks,1980,Conference Semifinals
Phoenix Suns,1980,Conference Semifinals
Milwaukee Bucks,1980,Conference Semifinals
San Antonio Spurs,1980,Conference First Round
Washington Bullets,1980,Conference First Round
Kansas City Kings,1980,Conference First Round
Portland Trail Blazers,1980,Conference First Round
Boston Celtics,1981,Won Finals
Houston Rockets,1981,Lost Finals
Philadelphia 76ers,1981,Conference Finals
Kansas City Kings,1981,Conference Finals
Chicago Bulls,1981,Conference Semifinals
Milwaukee Bucks,1981,Conference Semifinals
San Antonio Spurs,1981,Conference Semifinals
Phoenix Suns,1981,Conference Semifinals
New York Knicks,1981,Conference First Round
Indiana Pacers,1981,Conference First Round
Los Angeles Lakers,1981,Conference First Round
Portland Trail Blazers,1981,Conference First Round
Los Angeles Lakers,1982,Won Finals
Philadelphia 76ers,1982,Lost Finals
Boston Celtics,1982,Conference Finals
San Antonio Spurs,1982,Conference Finals
Washington Bullets,1982,Conference Semifinals
Milwaukee Bucks,1982,Conference Semifinals
Phoenix Suns,1982,Conference Semifinals
Seattle SuperSonics,1982,Conference Semifinals
Atlanta Hawks,1982,Conference First Round
New Jersey Nets,1982,Conference First Round
Denver Nuggets,1982,Conference First Round
Houston Rockets,1982,Conference First Round
Philadelphia 76ers,1983,Won Finals
Los Angeles Lakers,1983,Lost Finals
Milwaukee Bucks,1983,Conference Finals
San Antonio Spurs,1983,Conference Finals
Boston Celtics,1983,Conference Semifinals
New York Knicks,1983,Conference Semifinals
Portland Trail Blazers,1983,Conference Semifinals
Denver Nuggets,1983,Conference Semifinals
Atlanta Hawks,1983,Conference First Round
New Jersey Nets,1983,Conference First Round
Phoenix Suns,1983,Conference First Round
Seattle SuperSonics,1983,Conference First Round
Boston Celtics,1984,Won Finals
Los Angeles Lakers,1984,Lost Finals
Milwaukee Bucks,1984,Conference Finals
Phoenix Suns,1984,Conference Finals
New York Knicks,1984,Conference Semifinals
New Jersey Nets,1984,Conference Semifinals
Dallas Mavericks,1984,Conference Semifinals
Utah Jazz,1984,Conference Semifinals
Washington Bullets,1984,Conference First Round
Atlanta Hawks,1984,Conference First Round
Philadelphia 76ers,1984,Conference First Round
Detroit Pistons,1984,Conference First Round
Seattle SuperSonics,1984,Conference First Round
Kansas City Kings,1984,Conference First Round
